Date,CO2
1801-12-15,282.61999999999705
1802-01-15,282.62493019634553
1802-02-15,282.6293070820794
1802-03-15,282.6331640942185
1802-04-15,282.63653466978286
1802-05-15,282.6394522457924
1802-06-15,282.6419502592671
1802-07-15,282.6440621472269
1802-08-15,282.6458213466916
1802-09-15,282.64726129468136
1802-10-15,282.64841542821597
1802-11-15,282.6493171843154
1802-12-15,282.64999999999964
1803-01-15,282.6504896227567
1803-02-15,282.6507810419472
1803-03-15,282.6508615573999
1803-04-15,282.6507184689433
1803-05-15,282.6503390764063
1803-06-15,282.6497106796174
1803-07-15,282.6488205784053
1803-08-15,282.6476560725987
1803-09-15,282.6462044620264
1803-10-15,282.64445304651696
1803-11-15,282.6423891258991
1803-12-15,282.6400000000015
1804-01-15,282.63727797929226
1804-02-15,282.6342354167973
1804-03-15,282.6308896761819
1804-04-15,282.62725812111137
1804-05-15,282.6233581152511
1804-06-15,282.6192070222664
1804-07-15,282.6148222058225
1804-08-15,282.6102210295849
1804-09-15,282.6054208572188
1804-10-15,282.6004390523896
1804-11-15,282.5952929787627
1804-12-15,282.5900000000032
1805-01-15,282.58457670082475
1805-02-15,282.57903655013365
1805-03-15,282.5733922378843
1805-04-15,282.5676564540312
1805-05-15,282.56184188852865
1805-06-15,282.5559612313313
1805-07-15,282.55002717239347
1805-08-15,282.54405240166966
1805-09-15,282.53804960911435
1805-10-15,282.5320314846819
1805-11-15,282.5260107183269
1805-12-15,282.5200000000036
1806-01-15,282.5140101248345
1806-02-15,282.5080443086129
1806-03-15,282.50210387230027
1806-04-15,282.4961901368579
1806-05-15,282.490304423247
1806-06-15,282.4844480524289
1806-07-15,282.47862234536495
1806-08-15,282.4728286230165
1806-09-15,282.4670682063448
1806-10-15,282.4613424163112
1806-11-15,282.455652573877
1806-12-15,282.4500000000035
1807-01-15,282.44438858689557
1807-02-15,282.4388325117322
1807-03-15,282.43334852293583
1807-04-15,282.4279533689291
1807-05-15,282.42266379813435
1807-06-15,282.4174965589744
1807-07-15,282.41246839987156
1807-08-15,282.4075960692483
1807-09-15,282.4028963155273
1807-10-15,282.3983858871309
